Month,Year,Average Uber Total Fare,Average Uber Base Fare,Average Lyft Total Fare,Average Lyft Base Fare
9,2019,22.552478910625066,18.40079011578496,23.765721622009607,19.546144522167776
10,2019,22.261951876423094,18.08494504439523,24.00038283378368,19.731606553298853
11,2019,20.479060662413623,16.619652618047972,24.091061276796072,19.75434678779498
12,2019,22.058819765569066,18.073471830263596,24.77768969316902,20.379247583881885
1,2020,20.586255461333163,16.80397651229006,22.742465839679895,18.496016108836766
1,2020,19.45195899542739,15.757987715015808,24.03043766992303,19.64257575686635
3,2020,18.959219755934374,15.598487066043262,23.411243090241744,19.175522411424488
4,2020,18.837073540810263,15.982995708763118,20.644631648228327,17.19817254517373
5,2020,20.184707915832924,17.06882840827942,22.188020172741833,18.50141463895973
5,2020,22.829225328236,19.26941281596651,23.861089611659725,19.905087582112284
6,2020,22.228204585116025,18.743966784259058,24.91673000505504,20.736422674578503
8,2020,21.13696227670877,17.728918252264823,23.80244681263069,19.67176287436843
9,2020,21.062687965478222,17.493421082523216,23.46122643095427,19.3140083756135
10,2020,21.315885834283815,17.629245976765127,23.62880186224716,19.33814716880293
11,2020,21.651599389918978,17.955533881191595,22.509731444734282,18.4543552046374
12,2020,20.709421881981743,17.25980210845191,22.49733657867337,18.424741550274973
1,2021,20.293511494775803,16.8687645712471,21.720957242694265,17.80604282355602
1,2021,22.528113490949828,18.846189805564222,23.813461209588876,19.60735254540545
2,2021,23.006290402517266,19.209455521942765,25.112939595404075,20.676146555745365
4,2021,24.924655933916135,20.753160086232363,27.55885044598145,22.62159811975921
5,2021,26.9561167405211,22.331124716251203,28.490683254710913,23.34909663399602
5,2021,28.785016556577983,23.783134817848815,28.83361606861857,23.644896733209677
7,2021,28.569768217940233,23.522086429032807,28.39256903551236,23.229106959297862
8,2021,28.452701507647507,23.356943437941496,27.99716307694501,22.893586474042813
9,2021,29.625312338916924,24.22228775587876,29.096101432832704,23.631738989043935
10,2021,27.766334796935606,22.508460166224996,28.657076275644183,23.104928744712225
10,2021,28.09887131261751,22.709220784769528,27.76421238348649,22.44024022262217
12,2021,27.605183337267704,22.24581977455824,27.887492397859955,22.498414975845524
1,2022,24.340882973704126,19.700158047930525,24.15023730687564,19.515895805495436
1,2022,26.495022713252098,21.41801066227495,25.241930206830606,20.36911536054745
3,2022,28.41097932609173,22.957156315629398,26.2841880472723,21.21931723362322
4,2022,30.286719522280443,24.534119888740126,28.175865663794426,22.77386567476125
5,2022,32.00702037397054,26.025437878421116,30.05401826527488,24.38540601928723
6,2022,31.411498754239272,25.491930542845722,29.613315775999258,23.935341539299372
7,2022,29.49821073206743,24.40207610415407,26.47018720548113,21.320084579249418
8,2022,29.39691577505685,24.435488213742836,27.33140052132518,22.056873792952103
8,2022,32.372629001849646,26.26280300860737,28.430753192035734,23.006590068440783
10,2022,30.67334354613224,24.798753523745354,28.042759927644493,22.673345379130286
11,2022,30.32073189515269,24.489420867743327,27.09730168540128,21.96858432115886
12,2022,31.32974570721051,25.36523695900919,27.10359458452981,22.093715186749105
1,2023,27.25755397877726,21.942590051274856,25.17166512787927,20.483025208420134
2,2023,27.94271231499517,22.70961909093929,26.133497100019806,21.233541022796423
3,2023,29.72454811078782,24.252985385238635,26.267333792819343,21.302104590463294
4,2023,30.709521982956208,25.01552559493711,28.222152501996522,22.837932381098554
4,2023,32.13987996983853,26.20911629345869,29.132593629125935,23.569916471688266
6,2023,32.08964586790622,26.18488337780072,29.19214292375402,23.626404515803603
7,2023,30.415332505186303,24.766221873349895,28.14631506757995,22.71054782446065
8,2023,30.54339148343906,24.894446298301396,28.238052624637938,22.754998321098306
9,2023,32.92774778106662,26.916274805217476,29.17677822452752,23.58777158369583
10,2023,32.94733052709719,26.870347787174428,29.26828222556623,23.664938259027082
11,2023,32.05692822269248,26.11914071106979,29.511420498617195,23.818680603896325
11,2023,33.14841508807924,27.147714783195266,29.551460501442424,23.969907898397963
1,2024,29.765457274096295,24.339278666477806,28.264610205164242,22.91073948395915
2,2024,30.003910520320012,24.537868278171665,28.991806885592123,23.48478217793978
3,2024,31.424340780225485,25.7980197795442,30.597730801107634,24.85702197289526
4,2024,31.749199178302653,26.018877591207474,31.48103220801771,25.52382119458541
4,2024,33.286358965900156,27.307560752431346,32.8961646920961,26.743785840889885
6,2024,32.941744974545465,27.063922530972377,32.95559546515204,26.813415854445985
7,2024,31.426943420939875,25.75912851310832,31.243477292719458,25.34430691343731
